date,bist100_close,return_bist,return_bist_lag1,abs_return_bist,real_return_bist,goldstein_a1,event_count_a1,event_count_a1_c,tone_a1,source_count_a1,mentions_a1,articles_a1,goldstein_a2,event_count_a2,event_count_a2_c,tone_a2,source_count_a2,mentions_a2,articles_a2,vix_close,return_vix,usdtry_close,return_usdtry,cpi_daily_interp,daily_inflation_log
2020-01-24,1221.41796875,-0.0032564817986411687,-0.0016869770923001774,0.0032564817986411687,-0.0033696327442925534,0.8593152475894753,2470,635.3706377858002,-1.9801426338283656,2690,12238,12035,1.3591008771929824,1742,426.384476534296,-1.707767264645113,1938,8208,8083,14.5600004196167,0.11486839557927134,5.929200172424316,0.0016102954838263937,14.061659,0.00011315094565138473
2020-01-27,1201.4969482421875,-0.01644421706552758,-0.0032564817986411687,0.01644421706552758,-0.016557329614803124,0.9002217021800714,4803,2968.3706377858,-2.514149149141557,5211,24357,24032,1.6186906687293439,3129,1813.384476534296,-2.367862598307814,3225,14221,14093,18.229999542236328,0.22479049199174436,5.944779872894287,0.0026241764515437895,14.066432,0.00011311254927554234
2020-01-28,1198.0159912109375,-0.002901388374217414,-0.01644421706552758,0.002901388374217414,-0.0030144881304909497,0.7328332569857994,1807,-27.629362214199773,-2.730069565791068,1924,8732,8601,0.9965996403465752,1337,21.384476534296027,-2.6503979774796185,1424,6117,6046,16.280000686645508,-0.11313116082847623,5.942800045013428,-0.000333091834138934,14.068023,0.00011309975627353563
2020-01-29,1196.89501953125,-0.0009361281120858162,-0.002901388374217414,0.0009361281120858162,-0.0010492150782512055,0.4898318042813457,2194,359.3706377858002,-2.49302258686541,2378,10464,10285,0.8690974391005623,1329,13.384476534296027,-2.442380575328706,1501,6404,6321,16.389999389648438,0.006733952764836166,5.940999984741211,-0.0003029435502913652,14.069614,0.0001130869661653894
2020-01-30,1198.4969482421875,0.0013375088263638368,-0.0009361281120858162,0.0013375088263638368,0.001224434647414509,0.3769491177677472,1846,11.370637785800227,-2.6121525843332782,1990,9748,9633,0.8348232683468064,1340,24.384476534296027,-2.407603618084082,1396,6309,6254,15.489999771118164,-0.05647671586379793,5.95665979385376,0.0026324198955133167,14.071204999999999,0.00011307417894932759
2020-01-31,1191.4010009765625,-0.0059383021942178045,0.0013375088263638368,0.0059383021942178045,-0.0060513635888429325,0.6035441490986863,1948,113.37063778580023,-2.361093101545997,2043,9819,9721,0.686251952847607,1329,13.384476534296027,-2.0550705898442443,1394,7041,6936,18.84000015258789,0.19578763759468787,5.97415018081665,0.0029319718492939583,14.072796,0.0001130613946251283
2020-02-03,1192.427978515625,0.0008616202013082141,-0.0059383021942178045,0.0008616202013082141,0.0006646416018613774,0.22628859443352553,6374,4539.3706377858,-2.766745995967329,6724,31546,30980,0.6746081199493721,4385,3069.384476534296,-2.4728385416540144,4658,20542,20269,17.969999313354492,-0.04727861466255202,5.975039958953857,0.00014892693620968933,14.079933344827586,0.0001969785994468368
2020-02-04,1221.362060546875,0.023975132475534955,0.0008616202013082141,0.023975132475534955,0.0237781926690155,-0.418775564943338,3230,1395.3706377858002,-3.5285161683555533,3406,14913,14767,-0.1099142399396851,2281,965.384476534296,-3.628127530485884,2392,10611,10376,16.049999237060547,-0.11299486054395456,5.98360013961792,0.001431631365365952,14.082706517241379,0.00019693980651945542
2020-02-05,1223.2080078125,0.0015102431633079046,0.023975132475534955,0.0015102431633079046,0.0013133421344392344,-0.0339854263769447,2979,1144.3706377858002,-3.3570634799764734,3204,15233,15000,0.0869918699186991,2070,754.384476534296,-3.346515277487627,2208,9963,9765,15.149999618530272,-0.0577082952649975,5.977719783782959,-0.000983228664787608,14.085479689655171,0.0001969010288686703
2020-02-06,1222.8389892578125,-0.00030172646554137535,0.0015102431633079046,0.00030172646554137535,-0.0004985887320274225,-0.0768545994065281,2716,881.3706377858002,-3.8123256837597443,2991,13817,13633,0.4264041316978696,1937,621.384476534296,-3.785483296813823,2086,9294,9181,14.960000038146973,-0.012620531679595303,5.980899810791016,0.0005318384881907917,14.088252862068966,0.00019686226648604716
2020-02-07,1210.1510009765625,-0.010430049737040559,-0.00030172646554137535,0.010430049737040559,-0.010626873256402157,0.4474566529361051,2097,262.3706377858002,-3.31100080286131,2242,10439,10241,0.6678258488499453,1544,228.38447653429603,-3.3454653129462404,1657,7304,7228,15.470000267028809,0.03352270674978579,5.98769998550415,0.0011363360059833032,14.09102603448276,0.00019682351936159775
2020-02-10,1183.4150390625,-0.02234078648736386,-0.010430049737040559,0.02234078648736386,-0.02253749385681481,0.32064415041782734,5865,4030.3706377858,-3.2618544412820434,6209,28720,28196,0.22514764032249768,4264,2948.384476534296,-3.395664024590799,4495,19473,19235,15.039999961853027,-0.028189365860722355,5.986939907073975,-0.0001269480231580847,14.099345551724138,0.00019670736945095126
2020-02-11,1197.97802734375,0.012230798879012518,-0.02234078648736386,0.012230798879012518,0.012034130195740993,-0.0001331952049726,2831,996.3706377858002,-3.7332415606251055,3022,13514,13305,-0.2710647437864376,2150,834.384476534296,-3.7528519239555096,2270,9777,9683,15.18000030517578,0.009265476085964121,6.00570011138916,0.0031286221530550675,14.10211872413793,0.0001966686832715241
2020-02-12,1200.487060546875,0.002092199824817218,0.012230798879012518,0.002092199824817218,0.0018955698125113385,-0.295190003423485,3701,1866.3706377858002,-3.740053163004687,3917,17526,17216,-0.0080185042405551,2554,1238.384476534296,-3.885432627481579,2718,11673,11534,13.739999771118164,-0.09966752193515348,6.015999794006348,0.0017135155956888714,14.104891896551724,0.00019663001230587934
2020-02-13,1205.405029296875,0.0040882761289837664,0.002092199824817218,0.0040882761289837664,0.0038916847724388497,-0.1948997414937468,2893,1058.3706377858002,-3.503104274376988,3039,14313,13983,0.1664150573473189,2181,865.384476534296,-3.2685724532327898,2303,10201,9882,14.149999618530272,0.0294033269941184,6.0441999435424805,0.004676572784092391,14.107665068965517,0.00019659135654491672
2020-02-14,1201.5140380859375,-0.0032331744371285687,0.0040882761289837664,0.0032331744371285687,-0.003429727153108105,0.2636508929191856,3140,1305.3706377858002,-2.2985423625862373,3258,14391,14153,0.3466450458510401,2135,819.384476534296,-2.269938244167874,2185,8942,8835,13.68000030517578,-0.03377966262767974,6.039700031280518,-0.000744778172501387,14.11043824137931,0.00019655271597953592
2020-02-18,1195.740966796875,-0.01013294988498307,0.005316539083863936,0.01013294988498307,-0.010329348190480668,0.0756764199655765,2934,1099.3706377858002,-3.5194056127110707,3101,14525,14325,0.3573452204061416,2105,789.384476534296,-3.551458468415271,2240,10095,10005,14.829999923706056,0.08071721650269761,6.04670000076294,-0.0012396057341925288,14.121530931034483,0.00019639830549759762
2020-02-19,1191.9610595703125,-0.0031661491613785113,-0.01013294988498307,0.0031661491613785113,-0.003362508902155685,0.033348334833483304,3398,1563.3706377858002,-3.3219998907512167,3577,15554,15313,0.3314109575420106,2323,1007.384476534296,-3.2007592871728905,2436,10057,9936,14.380000114440918,-0.03081379075403285,6.064000129699707,0.002857000919521619,14.124304103448276,0.00019635974077717382
2020-02-20,1156.4200439453125,-0.030270835898551746,-0.0031661491613785113,0.030270835898551746,-0.030467157089750587,-0.4651785714285715,3696,1861.3706377858002,-3.74697940451214,4009,17808,17535,-0.9803378325045388,2745,1429.384476534296,-3.98456204802818,2939,12669,12351,15.5600004196167,0.07886518546665965,6.083000183105469,0.0031283557112019517,14.127077275862069,0.0001963211911988402
