date,weighted_goldstein,event_count,avg_tone,source_count,total_mentions,total_articles
2022-03-03,0.9235796045785638,943,-2.103228631973389,983,4805,4680
2022-03-04,0.772648178357803,1016,-1.8382963103403596,1150,5517,5376
2022-03-05,2.312574257425742,1191,-1.5777993590710355,1347,6060,5984
2022-03-06,1.7494517897452435,1266,-2.065588435489503,1406,6202,6104
2022-03-07,1.6193816073661478,1797,-1.621131862782899,1911,8797,8679
2022-03-08,1.8461112478464188,1674,-1.7687086021228642,1748,8126,7945
2022-03-09,1.326081081081081,2820,-1.3691717754628243,2980,12580,12198
2022-03-10,2.1760713258556224,3797,-1.85709548973423,4100,17385,17069
2022-03-11,1.4332565505326806,2060,-1.7513961181625146,2232,10419,10232
2022-03-12,1.0663425306916252,1579,-0.8898215386324764,1716,8227,7945
2022-03-13,1.5374543311726576,1759,-1.250931171522098,1846,8485,8313
2022-03-14,1.7412624254473164,2130,-1.1274425924016824,2296,10060,9950
2022-03-15,1.8251850872554203,1518,-1.3943068237391367,1600,7564,7390
2022-03-16,1.554297361567206,1703,-1.0173681203986464,1860,8831,8665
2022-03-17,1.7969686531174647,1756,-0.6665225398703596,1869,8709,8543
2022-03-18,1.3749363356118482,1350,-1.0550627470357326,1440,7461,7175
2022-03-19,1.337927158273381,809,-1.358269477277999,840,4448,4270
2022-03-20,2.0474991607922126,1153,-1.411841282895111,1237,5958,5868
2022-03-21,1.4756229531539227,1169,-1.4281285469314853,1236,7023,6741
2022-03-22,1.4570406504065043,1185,-2.175970015993409,1254,6150,6042
2022-03-23,1.13831279945243,1094,-1.7295210258772757,1149,5844,5683
2022-03-24,1.3367507369800196,1167,-1.2625685741919768,1227,6106,5986
2022-03-25,1.6075468821466683,1339,-1.2173212394487112,1401,6559,6399
2022-03-26,0.6446973707428976,1054,-1.6312282652567427,1144,5667,5563
2022-03-27,1.7222457948173966,1183,-1.7732123571866854,1329,6599,6415
2022-03-28,1.7418383518225042,2396,-1.4988781829491966,2541,11358,11190
2022-03-29,2.2765920505983748,3192,-1.5836758218957436,3557,16127,15744
2022-03-30,1.699275680421422,1804,-1.8052846621907122,1952,9112,8778
2022-03-31,1.2965407131452902,2169,-1.7613011729609758,2422,11274,10931
2022-04-01,1.353371475275848,2043,-0.9927828221661421,2210,9788,9589
2022-04-02,1.40238753821517,1196,-1.7540862276272071,1496,6869,6645
2022-04-03,1.598884924174844,827,-1.0273921292239003,879,4484,4432
2022-04-04,1.2527287819049597,912,-1.1815015075451274,948,4819,4728
2022-04-05,0.8696239503468419,998,-1.4457378944880388,1044,5478,5320
2022-04-06,0.39020869292327,1124,-2.1839207610118048,1210,6373,6183
2022-04-07,0.47863165502288607,1560,-2.5851031483975153,1735,8302,8083
2022-04-08,1.1199939366378655,1328,-1.8453605657810033,1376,6597,6441
2022-04-09,0.7423532653623588,637,-1.6738370313571085,664,3629,3505
2022-04-10,0.48159163987138254,594,-1.5237226637118313,636,3732,3568
2022-04-11,1.2806971153846156,749,-0.518805817134396,789,4160,4064
2022-04-12,1.0924870466321246,903,-1.270537469002306,954,5018,4901
2022-04-13,0.7980704697986578,810,-1.7441532816396441,865,4768,4584
2022-04-14,1.3792074282871831,1018,-1.6143501472509671,1081,6031,5904
2022-04-15,0.7775351014040564,816,-1.5644344516073292,860,5128,4861
2022-04-16,0.37341597796143255,635,-2.433743981171236,661,3630,3505
2022-04-17,0.5577530416774528,674,-2.8892342396023616,718,3863,3783
2022-04-18,-1.0841840741322442,1128,-2.43359924667753,1166,6367,6263
2022-04-19,0.2484725640654409,1319,-2.1459446133020394,1391,6907,6768
2022-04-20,0.2194418604651163,1187,-2.4403689181640065,1257,6450,6349
2022-04-21,0.001802641802641784,1137,-2.0578209028918266,1215,6435,6362
2022-04-22,0.30898115968538503,996,-1.831781941329022,1039,5467,5371
2022-04-23,-0.4611291369240754,817,-1.3564781831883386,863,4623,4499
2022-04-24,0.7819846733341991,1509,-2.5709604046584342,1607,7699,7511
2022-04-25,0.2425008781173165,1768,-3.063067260217841,1905,8541,8342
2022-04-26,0.8497762741460222,1915,-2.3535198348272357,2027,9163,9009
2022-04-27,0.5317583268783889,1538,-2.5617198670016537,1616,7746,7614
2022-04-28,0.4302754491017964,1669,-2.026161862761679,1846,8350,8200
2022-04-29,0.29889031156636797,1413,-1.634452724735047,1480,7029,6860
2022-04-30,0.4004711183941009,840,-1.3278357270151817,887,4882,4732
2022-05-01,0.43747775800711747,829,-1.7824506666167328,856,4496,4307
2022-05-02,0.6376419379258138,990,-1.0801434805284214,1064,5284,5184
2022-05-03,0.826199494949495,887,-0.6429636321378459,931,4752,4649
2022-05-04,0.03921167135909908,769,-2.0529319046275254,783,3907,3782
2022-05-05,0.6957856161245992,755,-1.1990912100465727,812,4366,4216
2022-05-06,0.6983844532896277,843,-1.9540885442274383,896,4271,4223
2022-05-07,0.03579470198675492,517,-1.8389792590081737,555,3020,2905
2022-05-08,0.3780790085205269,475,-2.1639568296064193,504,2582,2521
2022-05-09,0.581090992436397,804,-1.8004839618057928,840,4363,4279
2022-05-10,0.78359375,864,-1.8133980848238607,911,4480,4333
