role,timing,tau,term,estimate_raw,std_error_raw,statistic,p_value,conf_low_raw,conf_high_raw,estimate,std_error,conf_low,conf_high,return_unit,inference
Actor1,reaction,0.45,goldstein_a1:event_count_c,9.492138287246981e-7,1.0125169171779486e-6,0.9374794757704527,0.34865534247323793,-1.0353193289440812e-6,2.9337469863934772e-6,9.492138287246981e-5,1.0125169171779486e-4,-1.0353193289440812e-4,2.933746986393477e-4,percent,bootstrap_xy_R500
Actor1,reaction,0.5,(Intercept),6.419678140574473e-4,7.668877677242733e-4,0.8371079068877003,0.4026585922008987,-8.611322106821283e-4,0.002145067838797023,0.06419678140574474,0.07668877677242733,-0.08611322106821283,0.2145067838797023,percent,bootstrap_xy_R500
Actor1,reaction,0.5,goldstein_a1,0.0011178989670223153,8.742820668090816e-4,1.2786479437950462,0.20120895745947776,-5.956938839234845e-4,0.0028314918179681153,0.11178989670223152,0.08742820668090816,-0.05956938839234845,0.28314918179681153,percent,bootstrap_xy_R500
Actor1,reaction,0.5,event_count_c,-3.5980407140614756e-7,7.225324725933754e-7,-0.49797633331925967,0.6185700697164376,-1.7759677176891633e-6,1.056359574876868e-6,-3.598040714061476e-5,7.225324725933754e-5,-1.7759677176891632e-4,1.0563595748768681e-4,percent,bootstrap_xy_R500
Actor1,reaction,0.5,return_vix,-0.03007267232787373,0.0062837574697779935,-4.785778647968125,1.8624390467625318e-6,-0.0423888369686386,-0.01775650768710886,-3.007267232787373,0.6283757469777993,-4.23888369686386,-1.775650768710886,percent,bootstrap_xy_R500
Actor1,reaction,0.5,return_usdtry,0.03493647575923013,0.07580915761210884,0.4608476978202143,0.6449713433104485,-0.11364947316050318,0.18352242467896346,3.493647575923013,7.580915761210884,-11.364947316050317,18.352242467896346,percent,bootstrap_xy_R500
Actor1,reaction,0.5,return_bist_lag1,0.036198301046416546,0.02778146912562868,1.302965688485612,0.19277645257388043,-0.018253378439815664,0.09064998053264875,3.6198301046416548,2.778146912562868,-1.8253378439815664,9.064998053264874,percent,bootstrap_xy_R500
Actor1,reaction,0.5,goldstein_a1:event_count_c,9.195142392537043e-7,9.895617505146335e-7,0.9292136026635022,0.35292042603172247,-1.0200267917549775e-6,2.8590552702623863e-6,9.195142392537044e-5,9.895617505146335e-5,-1.0200267917549775e-4,2.859055270262386e-4,percent,bootstrap_xy_R500
Actor1,reaction,0.55,(Intercept),0.002267526641254649,8.517974891202977e-4,2.6620489849018685,0.007845474171881861,5.980035625788654e-4,0.003937049719930433,0.2267526641254649,0.08517974891202977,0.05980035625788654,0.3937049719930433,percent,bootstrap_xy_R500
Actor1,reaction,0.55,goldstein_a1,9.992147713889729e-4,9.013918032752148e-4,1.1085243595052867,0.26780423964499,-7.675131630304481e-4,0.002765942705808394,0.09992147713889729,0.09013918032752148,-0.07675131630304481,0.2765942705808394,percent,bootstrap_xy_R500
Actor1,reaction,0.55,event_count_c,2.5184789342751103e-7,7.719549591857099e-7,0.32624687545653003,0.7442808118875057,-1.2611838265764803e-6,1.7648796134315026e-6,2.5184789342751103e-5,7.719549591857099e-5,-1.2611838265764804e-4,1.7648796134315026e-4,percent,bootstrap_xy_R500
Actor1,reaction,0.55,return_vix,-0.030497188043724116,0.0059747146663430804,-5.104375647513626,3.7210402537013465e-7,-0.042207628789756556,-0.018786747297691676,-3.0497188043724117,0.5974714666343081,-4.2207628789756555,-1.8786747297691677,percent,bootstrap_xy_R500
