term,estimate,std_error,statistic,p_value,hac_lag,role,timing,model,outcome,N,event_count_sample_mean,centered_mean_check,estimate_reported,std_error_reported,return_unit
event_count_c,-1.4178969661297443e-7,4.4033950126596334e-7,-0.3220008566238849,0.7474946689307564,7,Actor2,prediction,role_specific,abs_return_bist,1585,1300.5766561514195,1.1085062065599476e-13,-1.4178969661297444e-5,4.4033950126596333e-5,percent
return_vix,0.010920793846877774,0.006699297937806288,1.6301400457573665,0.1032713466279845,7,Actor2,prediction,role_specific,abs_return_bist,1585,1300.5766561514195,1.1085062065599476e-13,1.0920793846877774,0.6699297937806288,percent
return_usdtry,0.009951430568466887,0.10345467126246582,0.0961912154089203,0.9233809140034568,7,Actor2,prediction,role_specific,abs_return_bist,1585,1300.5766561514195,1.1085062065599476e-13,0.9951430568466887,10.345467126246582,percent
abs_return_bist_lag1,0.0915324939353086,0.03649775567014114,2.5078937664704535,0.012244957786088084,7,Actor2,prediction,role_specific,abs_return_bist,1585,1300.5766561514195,1.1085062065599476e-13,9.15324939353086,3.649775567014114,percent
(Intercept),0.011452180768048378,8.976258263841202e-4,12.758301322702424,2.1782948094975898e-36,NA,Pooled,reaction,pooled_interaction_HAC,abs_return_bist,3170,1556.1082018927445,-7.144236131531195e-14,1.1452180768048377,0.08976258263841203,percent
goldstein,3.301550094321722e-4,5.336449655969933e-4,0.6186791419700266,0.5361723181865594,NA,Pooled,reaction,pooled_interaction_HAC,abs_return_bist,3170,1556.1082018927445,-7.144236131531195e-14,0.03301550094321722,0.05336449655969933,percent
role_dummy,-6.70916036617352e-4,0.0010146133948789324,-0.6612528870638538,0.508498327351036,NA,Pooled,reaction,pooled_interaction_HAC,abs_return_bist,3170,1556.1082018927445,-7.144236131531195e-14,-0.0670916036617352,0.10146133948789324,percent
event_count_c,1.9318112883226037e-6,3.925985538684919e-7,4.9205766788680005,9.07018440458482e-7,NA,Pooled,reaction,pooled_interaction_HAC,abs_return_bist,3170,1556.1082018927445,-7.144236131531195e-14,1.9318112883226038e-4,3.925985538684919e-5,percent
return_vix,0.009358451007942746,0.004659451686642049,2.0084876155647295,0.044676378476853,NA,Pooled,reaction,pooled_interaction_HAC,abs_return_bist,3170,1556.1082018927445,-7.144236131531195e-14,0.9358451007942745,0.4659451686642049,percent
return_usdtry,0.010065777848357231,0.07213677333064648,0.13953740074039186,0.889034390148432,NA,Pooled,reaction,pooled_interaction_HAC,abs_return_bist,3170,1556.1082018927445,-7.144236131531195e-14,1.0065777848357231,7.213677333064648,percent
abs_return_bist_lag1,0.08860440157201104,0.02506678576077449,3.5347332688606112,4.1403895315219013e-4,NA,Pooled,reaction,pooled_interaction_HAC,abs_return_bist,3170,1556.1082018927445,-7.144236131531195e-14,8.860440157201104,2.506678576077449,percent
goldstein:role_dummy,-1.714051124797897e-4,8.369075434800317e-4,-0.20480770404703535,0.837735549714867,NA,Pooled,reaction,pooled_interaction_HAC,abs_return_bist,3170,1556.1082018927445,-7.144236131531195e-14,-0.01714051124797897,0.08369075434800317,percent
(Intercept),0.010524274627709268,8.734081410876719e-4,12.049663991685705,1.0037504595034017e-32,NA,Pooled,prediction,pooled_interaction_HAC,abs_return_bist,3170,1557.3356466876971,1.519930343520187e-14,1.052427462770927,0.08734081410876719,percent
goldstein,5.882302357372419e-4,5.320280449269573e-4,1.1056376470116358,0.26896750356702337,NA,Pooled,prediction,pooled_interaction_HAC,abs_return_bist,3170,1557.3356466876971,1.519930343520187e-14,0.058823023573724195,0.053202804492695724,percent
role_dummy,4.970684760973996e-4,9.964116932508638e-4,0.49885853354016596,0.6179137497546316,NA,Pooled,prediction,pooled_interaction_HAC,abs_return_bist,3170,1557.3356466876971,1.519930343520187e-14,0.04970684760973996,0.09964116932508638,percent
event_count_c,-1.7538996182562827e-7,2.6375215192751583e-7,-0.6649802117020407,0.5061116457258035,NA,Pooled,prediction,pooled_interaction_HAC,abs_return_bist,3170,1557.3356466876971,1.519930343520187e-14,-1.7538996182562825e-5,2.6375215192751582e-5,percent
return_vix,0.010928519741113757,0.004794878945354138,2.279206600555085,0.022721143239763653,NA,Pooled,prediction,pooled_interaction_HAC,abs_return_bist,3170,1557.3356466876971,1.519930343520187e-14,1.0928519741113756,0.47948789453541374,percent
return_usdtry,0.009790062005795732,0.07257121871879062,0.1349028193081843,0.8926972966759057,NA,Pooled,prediction,pooled_interaction_HAC,abs_return_bist,3170,1557.3356466876971,1.519930343520187e-14,0.9790062005795732,7.257121871879062,percent
abs_return_bist_lag1,0.09245112862120365,0.025558994642763646,3.617166086279483,3.025030407578468e-4,NA,Pooled,prediction,pooled_interaction_HAC,abs_return_bist,3170,1557.3356466876971,1.519930343520187e-14,9.245112862120365,2.5558994642763646,percent
