role,timing,tau,event_count_percentile,event_count_raw,event_count_centered,marginal_effect_raw,std_error_raw,conf_low_raw,conf_high_raw,N,event_count_sample_mean,centered_mean_check,marginal_effect,std_error,conf_low,conf_high,return_unit,inference
Actor1,reaction,0.6000000000000001,0.25,1107.25,-706.3565573770493,1.2639759333355578e-5,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.0012639759333355578,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.6000000000000001,0.5,1412.5,-401.1065573770493,2.560143619230918e-4,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.02560143619230918,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.6000000000000001,0.75,2139,325.3934426229507,8.352499025666409e-4,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.0835249902566641,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.6000000000000001,0.9,3174,1360.3934426229507,0.001660451257784911,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.1660451257784911,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.6500000000000001,0.1,937.5,-876.1065573770493,7.695564382797938e-4,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.07695564382797937,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.6500000000000001,0.25,1107.25,-706.3565573770493,7.6600015771414e-4,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.076600015771414,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.6500000000000001,0.5,1412.5,-401.1065573770493,7.596051377278907e-4,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.07596051377278908,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.6500000000000001,0.75,2139,325.3934426229507,7.443848854100854e-4,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.07443848854100854,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.6500000000000001,0.9,3174,1360.3934426229507,7.227015252601494e-4,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.07227015252601493,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.7000000000000001,0.1,937.5,-876.1065573770493,0.00160712633189662,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.160712633189662,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.7000000000000001,0.25,1107.25,-706.3565573770493,0.0016224538602190026,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.16224538602190025,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.7000000000000001,0.5,1412.5,-401.1065573770493,0.0016500163227839944,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.16500163227839945,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.7000000000000001,0.75,2139,325.3934426229507,0.001715615435162263,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.1715615435162263,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.7000000000000001,0.9,3174,1360.3934426229507,0.0018090704679379107,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.18090704679379108,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.7500000000000001,0.1,937.5,-876.1065573770493,0.0013383309696704973,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.13383309696704973,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.7500000000000001,0.25,1107.25,-706.3565573770493,0.0013599951999119374,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.13599951999119375,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.7500000000000001,0.5,1412.5,-401.1065573770493,0.0013989525270471338,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.13989525270471337,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.7500000000000001,0.75,2139,325.3934426229507,0.0014916716037505578,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.14916716037505579,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.7500000000000001,0.9,3174,1360.3934426229507,0.0016237627866659658,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.1623762786665966,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.8,0.1,937.5,-876.1065573770493,0.0013340101755625255,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.13340101755625255,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.8,0.25,1107.25,-706.3565573770493,0.001403345839964971,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.1403345839964971,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.8,0.5,1412.5,-401.1065573770493,0.0015280274986326971,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.15280274986326972,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.8,0.75,2139,325.3934426229507,0.0018247718885494963,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.18247718885494962,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.8,0.9,3174,1360.3934426229507,0.002247525424081344,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.22475254240813441,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.8500000000000001,0.1,937.5,-876.1065573770493,0.0024773690411988816,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.24773690411988816,NA,NA,NA,percent,bootstrap_xy_R500
